settings_id,stem_file,iterations_number,pile_width,pile_height,pile_depth,n_sides,n_meshes,lateral_friction,spinning_friction,rolling_friction,restitution,bend_function,random_turn,drop_algorithm
7626,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7627,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7628,Darre_neu.csv,20,23,4,2.52,10,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7629,Darre_neu.csv,20,23,4,2.52,10,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7630,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7631,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7632,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7633,Darre_neu.csv,20,23,4,2.52,10,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7634,Darre_neu.csv,20,23,4,2.52,10,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7635,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
7636,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7637,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7638,Darre_neu.csv,20,23,4,2.52,20,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7639,Darre_neu.csv,20,23,4,2.52,20,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7640,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7641,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7642,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7643,Darre_neu.csv,20,23,4,2.52,20,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7644,Darre_neu.csv,20,23,4,2.52,20,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7645,Darre_neu.csv,20,15,4,2.52,20,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
7646,Darre_neu.csv,20,15,4,2.52,20,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7647,Darre_neu.csv,20,15,4,2.52,20,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7648,Darre_neu.csv,20,23,4,2.52,20,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7649,Darre_neu.csv,20,23,4,2.52,20,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7650,Darre_neu.csv,20,15,4,2.52,20,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7651,Darre_neu.csv,20,15,4,2.52,20,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7652,Darre_neu.csv,20,15,4,2.52,20,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7653,Darre_neu.csv,20,23,4,2.52,20,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7654,Darre_neu.csv,20,23,4,2.52,20,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7655,Darre_neu.csv,20,15,4,2.52,40,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
7656,Darre_neu.csv,20,15,4,2.52,40,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7657,Darre_neu.csv,20,15,4,2.52,40,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7658,Darre_neu.csv,20,23,4,2.52,40,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7659,Darre_neu.csv,20,23,4,2.52,40,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7660,Darre_neu.csv,20,15,4,2.52,40,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7661,Darre_neu.csv,20,15,4,2.52,40,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7662,Darre_neu.csv,20,15,4,2.52,40,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7663,Darre_neu.csv,20,23,4,2.52,40,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7664,Darre_neu.csv,20,23,4,2.52,40,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7665,Darre_neu.csv,20,15,4,2.52,40,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
7666,Darre_neu.csv,20,15,4,2.52,40,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7667,Darre_neu.csv,20,15,4,2.52,40,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7668,Darre_neu.csv,20,23,4,2.52,40,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7669,Darre_neu.csv,20,23,4,2.52,40,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7670,Darre_neu.csv,20,15,4,2.52,40,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7671,Darre_neu.csv,20,15,4,2.52,40,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7672,Darre_neu.csv,20,15,4,2.52,40,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7673,Darre_neu.csv,20,23,4,2.52,40,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7674,Darre_neu.csv,20,23,4,2.52,40,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7675,My_Stems.csv,20,4,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
7676,My_Stems.csv,20,4,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7677,My_Stems.csv,20,4,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7678,My_Stems.csv,20,12,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7679,My_Stems.csv,20,12,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7680,My_Stems.csv,20,4,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7681,My_Stems.csv,20,4,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7682,My_Stems.csv,20,4,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7683,My_Stems.csv,20,12,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7684,My_Stems.csv,20,12,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7685,My_Stems.csv,20,4,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
7686,My_Stems.csv,20,4,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7687,My_Stems.csv,20,4,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7688,My_Stems.csv,20,12,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7689,My_Stems.csv,20,12,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7690,My_Stems.csv,20,4,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7691,My_Stems.csv,20,4,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7692,My_Stems.csv,20,4,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7693,My_Stems.csv,20,12,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7694,My_Stems.csv,20,12,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7695,My_Stems.csv,20,4,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
7696,My_Stems.csv,20,4,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7697,My_Stems.csv,20,4,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7698,My_Stems.csv,20,12,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7699,My_Stems.csv,20,12,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7700,My_Stems.csv,20,4,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7701,My_Stems.csv,20,4,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7702,My_Stems.csv,20,4,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7703,My_Stems.csv,20,12,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7704,My_Stems.csv,20,12,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7705,My_Stems.csv,20,4,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
7706,My_Stems.csv,20,4,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7707,My_Stems.csv,20,4,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7708,My_Stems.csv,20,12,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7709,My_Stems.csv,20,12,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7710,My_Stems.csv,20,4,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7711,My_Stems.csv,20,4,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7712,My_Stems.csv,20,4,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7713,My_Stems.csv,20,12,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7714,My_Stems.csv,20,12,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7715,My_Stems.csv,20,4,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
7716,My_Stems.csv,20,4,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7717,My_Stems.csv,20,4,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7718,My_Stems.csv,20,12,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7719,My_Stems.csv,20,12,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7720,My_Stems.csv,20,4,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7721,My_Stems.csv,20,4,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7722,My_Stems.csv,20,4,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7723,My_Stems.csv,20,12,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7724,My_Stems.csv,20,12,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7725,My_Stems.csv,20,4,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
7726,My_Stems.csv,20,4,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7727,My_Stems.csv,20,4,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7728,My_Stems.csv,20,12,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7729,My_Stems.csv,20,12,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7730,My_Stems.csv,20,4,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7731,My_Stems.csv,20,4,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7732,My_Stems.csv,20,4,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7733,My_Stems.csv,20,12,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7734,My_Stems.csv,20,12,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7735,My200-4-2-0.csv,20,4,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
7736,My200-4-2-0.csv,20,4,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7737,My200-4-2-0.csv,20,4,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7738,My200-4-2-0.csv,20,12,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7739,My200-4-2-0.csv,20,12,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7740,My200-4-2-0.csv,20,4,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7741,My200-4-2-0.csv,20,4,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7742,My200-4-2-0.csv,20,4,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7743,My200-4-2-0.csv,20,12,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7744,My200-4-2-0.csv,20,12,2,3,10,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7745,My200-4-2-0.csv,20,4,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
7746,My200-4-2-0.csv,20,4,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7747,My200-4-2-0.csv,20,4,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7748,My200-4-2-0.csv,20,12,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7749,My200-4-2-0.csv,20,12,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7750,My200-4-2-0.csv,20,4,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7751,My200-4-2-0.csv,20,4,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7752,My200-4-2-0.csv,20,4,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7753,My200-4-2-0.csv,20,12,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7754,My200-4-2-0.csv,20,12,2,3,10,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7755,My200-4-2-0.csv,20,4,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
7756,My200-4-2-0.csv,20,4,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7757,My200-4-2-0.csv,20,4,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7758,My200-4-2-0.csv,20,12,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7759,My200-4-2-0.csv,20,12,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7760,My200-4-2-0.csv,20,4,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7761,My200-4-2-0.csv,20,4,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7762,My200-4-2-0.csv,20,4,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7763,My200-4-2-0.csv,20,12,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7764,My200-4-2-0.csv,20,12,2,3,20,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7765,My200-4-2-0.csv,20,4,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
7766,My200-4-2-0.csv,20,4,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7767,My200-4-2-0.csv,20,4,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7768,My200-4-2-0.csv,20,12,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7769,My200-4-2-0.csv,20,12,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7770,My200-4-2-0.csv,20,4,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7771,My200-4-2-0.csv,20,4,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7772,My200-4-2-0.csv,20,4,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7773,My200-4-2-0.csv,20,12,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7774,My200-4-2-0.csv,20,12,2,3,20,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7775,My200-4-2-0.csv,20,4,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
7776,My200-4-2-0.csv,20,4,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7777,My200-4-2-0.csv,20,4,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7778,My200-4-2-0.csv,20,12,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7779,My200-4-2-0.csv,20,12,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7780,My200-4-2-0.csv,20,4,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7781,My200-4-2-0.csv,20,4,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7782,My200-4-2-0.csv,20,4,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7783,My200-4-2-0.csv,20,12,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7784,My200-4-2-0.csv,20,12,2,3,40,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7785,My200-4-2-0.csv,20,4,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
7786,My200-4-2-0.csv,20,4,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7787,My200-4-2-0.csv,20,4,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7788,My200-4-2-0.csv,20,12,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7789,My200-4-2-0.csv,20,12,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7790,My200-4-2-0.csv,20,4,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7791,My200-4-2-0.csv,20,4,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7792,My200-4-2-0.csv,20,4,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7793,My200-4-2-0.csv,20,12,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7794,My200-4-2-0.csv,20,12,2,3,40,15,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7795,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.65,0.02,0.1,shifted sin,FALSE,grid
7796,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.65,0.02,0.1,shifted sin,FALSE,rowwise
7797,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.65,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7798,Darre_neu.csv,20,23,4,2.52,10,8,0.85,0.65,0.02,0.1,shifted sin,FALSE,trapezoid
7799,Darre_neu.csv,20,23,4,2.52,10,8,0.85,0.65,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7800,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.65,0.02,0.1,shifted sin,TRUE,grid
7801,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.65,0.02,0.1,shifted sin,TRUE,rowwise
7802,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.65,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7803,Darre_neu.csv,20,23,4,2.52,10,8,0.85,0.65,0.02,0.1,shifted sin,TRUE,trapezoid
7804,Darre_neu.csv,20,23,4,2.52,10,8,0.85,0.65,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7805,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.65,0.02,0.1,shifted sin,FALSE,grid
7806,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.65,0.02,0.1,shifted sin,FALSE,rowwise
7807,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.65,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7808,Darre_neu.csv,20,23,4,2.52,10,15,0.85,0.65,0.02,0.1,shifted sin,FALSE,trapezoid
7809,Darre_neu.csv,20,23,4,2.52,10,15,0.85,0.65,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7810,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.65,0.02,0.1,shifted sin,TRUE,grid
7811,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.65,0.02,0.1,shifted sin,TRUE,rowwise
7812,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.65,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7813,Darre_neu.csv,20,23,4,2.52,10,15,0.85,0.65,0.02,0.1,shifted sin,TRUE,trapezoid
7814,Darre_neu.csv,20,23,4,2.52,10,15,0.85,0.65,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7815,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.65,0.02,0.1,shifted sin,FALSE,grid
7816,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.65,0.02,0.1,shifted sin,FALSE,rowwise
7817,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.65,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7818,Darre_neu.csv,20,23,4,2.52,20,8,0.85,0.65,0.02,0.1,shifted sin,FALSE,trapezoid
7819,Darre_neu.csv,20,23,4,2.52,20,8,0.85,0.65,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7820,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.65,0.02,0.1,shifted sin,TRUE,grid
7821,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.65,0.02,0.1,shifted sin,TRUE,rowwise
7822,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.65,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7823,Darre_neu.csv,20,23,4,2.52,20,8,0.85,0.65,0.02,0.1,shifted sin,TRUE,trapezoid
7824,Darre_neu.csv,20,23,4,2.52,20,8,0.85,0.65,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7825,Darre_neu.csv,20,15,4,2.52,20,15,0.85,0.65,0.02,0.1,shifted sin,FALSE,grid
7826,Darre_neu.csv,20,15,4,2.52,20,15,0.85,0.65,0.02,0.1,shifted sin,FALSE,rowwise
7827,Darre_neu.csv,20,15,4,2.52,20,15,0.85,0.65,0.02,0.1,shifted sin,FALSE,rowwise-freeze
